ratings,review,beerName,user
4 AROMA 7/10 APPEARANCE 4/5 TASTE 8/10 PALATE 5/5 OVERALL 16/20fiulijn(17710),"Bottle from BCL Park Royal; bottled 14-09-2015Dark brown color, near black, with medium sized head, not persistent. Both aroma and flavor have the malt and caramel depth of old style strong Belgian beers, and sweet enough to get close to a classic British Barley Wine, and ending with a nice touch of dark caramel and nuts; the alcohol is well managed; the cedar is not evident.Delicious Barley Wine. ",De Molen Cedar-Wood Infused Quad,1786
1.3 AROMA 4/10 APPEARANCE 4/5 TASTE 1/10 PALATE 1/5 OVERALL 3/20fiulijn(17710),"Draught at CallisterCloudy golden color with creamy head. Undrinkable concoction of vegetable and petrol; cant detect the ginger, for what it matters.One of the worst beers I had in a long time. ",Brewery Creek Cllate Ginger Saison,1786
3.3 AROMA 7/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Draught at the breweryHazy blond color. Nice aroma, moderately smokey, and earthy. The mouthfeel is light and dry, the sourness is stronger than expected, very lemony, astringent, lemon peel, and some smoke.Weird, unbalanced, but interesting. ",Bomber Grtzer - Oak Smoked,1786
2.6 AROMA 5/10 APPEARANCE 4/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20fiulijn(17710),"Draught at BierCraft on CommercialHazy red-amber color with small compact head. The aroma is very mild, the mouthfeel is dry, there is some ashy feeling over the dry caramel flavor, and the bitterness comes with a light vegetable note.Not very good. ",Bomber Rye Bitter,1786
3.5 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Tasting at MattsHazy dark amber color. Heavy beer, heavy caramel and heavy alcohol, quite sweet too, malt flavor, and strong hopping, a bit resiny but also quite earthy.A good beer overall, not impressive and not really and IIPA though. ",Wild Ride Brain Bucket Imperial IPA - Bourbon Barrel Aged,1786
3.2 AROMA 6/10 APPEARANCE 3/5 TASTE 7/10 PALATE 3/5 OVERALL 13/20fiulijn(17710),"Draught at BierCraft on Commercial, and cask as Unfiltered kellerbier, 6-3-7-3-13=32Blond color, clean, with almost no head. The aroma is very mild, just a bit grassy though. The body is pleasantly dry, and not weak; quite good malt flavor, lightly biscuity; correct bitterness, light herbaceous character, more was expected from the hops; a bit spicy, in my opinion the rye is not suitable for the style, it adds a vegetable bitter note.Nice, overall.Unfiltered, caskThe unfiltered version is expectedly very cloudy, it has a large fluffy head. Aroma and flavor convey an impression of butter and citrus peel; this variant of the beer doesnt add any particular quality, instead its quite yeasty, and the final is less than exciting.Not a great result.6-3-5-2-11 ",Bomber / Doans Living Skies Rye Pilsner,1786
4.2 AROMA 8/10 APPEARANCE 4/5 TASTE 8/10 PALATE 5/5 OVERALL 17/20fiulijn(17710),"Tasting at MattsGolden color, clean. Deep hop aroma, very resiny, a bit of manure. Lean, just lightly sweet, good crackery malts, and a load of resiny hops, citrusy too.For such a strong beer, its extremely well balanced and drinkable. Excellent. ",Knee Deep Hop-De-Ranged Quad IPA,1786
3.1 AROMA 7/10 APPEARANCE 1/5 TASTE 7/10 PALATE 4/5 OVERALL 12/20fiulijn(17710),"Draught at the brewery, first glass of the kegUgly murky greenish color with creamy head. Its literally like chewing hop pellets; I never had such experience, such aggressive cocktail of pure pungent hop oils. Besides that, its sweet,, it has some fun aroma, and the final is spicy like ginger juice.Crazy, but I think this is what they were looking for.I cant drink more than 5oz, but thanks for doing it. ",Bomber 10-Year Tenure,1786
3.4 AROMA 7/10 APPEARANCE 4/5 TASTE 6/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Tasting at MattsDark brown color, almost black, small disappearing head. Bready aroma, rye, light coffee. The mouthfeel is smooth, nice dark malts flavor.Nice. ",Bastards Mark the Shadow,1786
2.6 AROMA 5/10 APPEARANCE 4/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20fiulijn(17710),"Tasting at MattsDark amber color, hazy. Strong aroma of spices, that smells like soap. Good body strength; a bit sour, malty, caramelly, and a lot of soapy spices. Burning alcohol.To me, not pleasant. ",Almanac Heirloom Pumpkin Barleywine (2014),1786
2.5 AROMA 5/10 APPEARANCE 3/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20fiulijn(17710),"Draught at Rogue Kitchen & Wetbar (W. Broadway), VancouverHazy amber color. Dusty and grainy aroma. Bready and grainy flavor, earthy, with some vegetables, chamomile; lowish bitterness.A non ground breaking Amber. ",Vancouver Island Mile High Mountain Ale,1786
2.4 AROMA 5/10 APPEARANCE 3/5 TASTE 5/10 PALATE 2/5 OVERALL 9/20fiulijn(17710),"Cask at CallisterCloudy blond-golden color, creamy head. The boring Summer Ale with a light vegetable and sour note, not very appealing. ",Real Cask Mighty Mauby,1786
3.6 AROMA 7/10 APPEARANCE 3/5 TASTE 7/10 PALATE 4/5 OVERALL 15/20fiulijn(17710),"Tasting at MattsDark brown color, almost no head. The dark malt body blends well with the juicy sourness; if there are spices, they are very subdued. Some layer of complexity.Very nice. ",Almanac Dark Pumpkin Sour (2014),1786
2.3 AROMA 5/10 APPEARANCE 4/5 TASTE 4/10 PALATE 2/5 OVERALL 8/20fiulijn(17710),"Cask at CallisterAmber color, clean, with small head. Light aroma; dry mouthfeel, weak; a bit of malt flavor, but also too much astringency, and some vegetables. There are many casks like this sold in England, but still they are not the best ones.Not a disaster, but still a timid attempt, and flawed. ",Real Cask Penzance West Coast Pale,1786
2.3 AROMA 5/10 APPEARANCE 4/5 TASTE 4/10 PALATE 2/5 OVERALL 8/20fiulijn(17710),"Cask at Alibi Room, VancouverDark brown to black color with frothy head. Aroma of dark malts and glue. Soft undercarbonated mouthfeel; flavor of roasted malts, but I get an incredible feeling if hospital sanitizer, more than I can remember from any beer, quite unpleasant.Chemical brew. ",Real Cask India Porter,1786
3.9 AROMA 7/10 APPEARANCE 4/5 TASTE 8/10 PALATE 4/5 OVERALL 16/20fiulijn(17710),"Tasting at MattsBlack color, beige head. Chocolatey, roasty, sweet, with a very good raspberry presence.Balanced and layered. Excellent. ",Tupiniquim Monjolo Floresta Negra,1786
3.4 AROMA 6/10 APPEARANCE 4/5 TASTE 7/10 PALATE 4/5 OVERALL 13/20fiulijn(17710),"Tasting at MattsDark brown color; it has a strong caramel flavor, but the aroma is appley, maybe acetaldehyde; sweet, robust, alcoholic.Im not overly impressed. ",HeBrew Jewbelation Nineteen,1786
3.3 AROMA 6/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 13/20fiulijn(17710),"2016-02-22, tasting at Joshs, bottle, 6-4-6-3-11=30Red color, hazy, almost no head. The aroma is a bit earthy. The flavor is too much loaded with dark caramel, roasted nuts; bitter to a certain degree, some hop resins, but also some vegetables.Quite hard and harsh.2016-02-18, draught at Red Racer Restaurant, Vancouver, 6-4-7-3-13=33Hazy dark amber color, compact head. Lean, not sweet or chewy, for the rest, exactly as expected, its a caramelly brew with a decent amount of hop resins and a hint of tropical fruits; but the choice of this substyle doesnt really allow to showcase the hops.Nice, if you know what you are getting. ",R & B Red India Pale Ale,1786
2.6 AROMA 6/10 APPEARANCE 2/5 TASTE 5/10 PALATE 2/5 OVERALL 11/20fiulijn(17710),"Draught at the breweryCloudy pale blond color with medium head. Strong ginger aroma. Dry mouthfeel, medium ginger flavor and mild cardamom, hint of anise, dry final. Hardly any beer feeling.More Spice Beer than Witbier. No flaws here, just a bad concept. ",Powell Street Belgian Witbier (2016-),1786
2.7 AROMA 6/10 APPEARANCE 3/5 TASTE 5/10 PALATE 2/5 OVERALL 11/20fiulijn(17710),"Draught at 12 Kings, VancouverBlond color, just hazy. The aroma is delicate and citrusy. Too bad that the body is so weak, and the malt flavor uninteresting; low bitterness, though balanced, and hints of citrusy hops.Clean, nothing bad with it; simple but it can satisfy the thirst of some guy working on his BBQ in the summer. ",Old Yale Knotty Blonde,1786
3 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 12/20fiulijn(17710),"Draught at the breweryBlond color, dry mouthfeel, easy Blonde, but it has some fruity esters. Refreshing and nice. ",Old Abbey Blonde Ale,1786
3.8 AROMA 8/10 APPEARANCE 4/5 TASTE 7/10 PALATE 4/5 OVERALL 15/20fiulijn(17710),"Bottle from The Beer Junction, SeattleHazy dark amber color. The smoke is quite strong, meaty; the malt backbone is strong, caramelly, sweet; strong resiny bitterness, and strong alcohol feeling.Good, but extreme, and very weird. ",Black Market Seek and Destroy,1786
3 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 12/20fiulijn(17710),"Draught at the breweryGolden color with creamy head. Clean, with moderate malt character, maybe a bit of rye, and correct bitterness.Nice, clean, easy. ",Old Abbey Rye Pale Ale,1786
3.5 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Tasting at MattsCloudy blond color. The aroma is very corky. Smooth, highly carbonated, dryer than sweeter; it has a quite good fruity character from the wine barrel, and a strong cork feeling.A bit weird, not bad though. ",Bodebrown Tripel Montfort - Merlot Barrel,1786
3 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 12/20fiulijn(17710),"Draught at the breweryCloudy blond color, small head. Dry and a bit bready; I dont get the usual characteristics of Mosaic, but it still has some nice hop resins.Nice ISA. ",Off the Rail Mosaic ISA,1786
3.4 AROMA 6/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Draught at the breweryCloudy light amber color, creamy head. The aroma is a but cheesy and yeasty, in the good beery way. The mouthfeel is soft, moderately sweet, with mild malt flavor, and a mix of orangey resins, a bit of other fruits too.Not too clean, but nice. ",Off the Rail Seven Cs IPA,1786
3.7 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 4/5 OVERALL 15/20fiulijn(17710),"Tasting at MattsHazy golden color, small compact head.Nice toffeish malts in the aroma and flavor, the mouthfeel is not too sweet, although the alcohol can be perceived; the hopping is quite good, its resiny and a bit orangey, powerful but not too bright.Good, not exceptional. ",Acoustic Ales Hop-way to the Danger Zone,1786
3 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 12/20fiulijn(17710),"Draught at the breweryCloudy blond color, compact head. Some banana aroma, light spicy flavor, a bit earthy in the final.Not bad. ",Off the Rail Epic Saison,1786
3.1 AROMA 7/10 APPEARANCE 4/5 TASTE 6/10 PALATE 2/5 OVERALL 12/20fiulijn(17710),"Draught at 12 Kings, VancouverGolden color, just hazy, with compact head. Hoppy aroma, a bit citrusy (oranges), and a bit yeasty. The mouthfeel is off-dry; the malt flavor is rather simple; very strong bitterness, a bit orangey, but also quite harsh in the final, chicory, indeed old style.Ok beer, wont look for it again though. ",Moon Under Water Tranquility IPA (2016-),1786
3.1 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 13/20fiulijn(17710),"Draught at St. Augustines, VancouverCloudy pale yellow color. Aroma of sour cider, but also light manure, and maybe hops. Very strange flavor, vegetable juice (carrots, chard...), but also some refreshing quality.Weird but not bad. ",Merridale Hoptimized 2.0,1786
4.3 AROMA 8/10 APPEARANCE 4/5 TASTE 9/10 PALATE 4/5 OVERALL 18/20fiulijn(17710),"Tasting at MattsBlack color; generous head, but not persistent. Very rich beer, chocolatey, velvety, bold; its fairly sweet with just traces of roasted malts; the barrels just add a few layers of complexity and blend well together.Excellent. ",FiftyFifty Imperial Eclipse Stout - Brewmasters Grand Cru Blend (2015),1786
3.6 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 15/20fiulijn(17710),"Cask at the breweryBlack color, persistent small brownish head. Some Brett aroma; dry, roasty flavor. Balanced Stout, where the mild sourness adds a refreshing edge, fresh.Very enjoyable. ",Main Street Sour Stout,1786
2.7 AROMA 5/10 APPEARANCE 3/5 TASTE 6/10 PALATE 2/5 OVERALL 11/20fiulijn(17710),"Draught at the breweryBlack color, no head. Some aroma of stale bread, some flavor too, with roasted malts, a bit ashy; the mouthfeel is dry but softened by the low carbonation; the whiskey is not noticeable. Weak final.Not a great success. ",Main Street Oxymoron Dry Irish Stout - Jameson Whiskey,1786
3.8 AROMA 7/10 APPEARANCE 5/5 TASTE 7/10 PALATE 4/5 OVERALL 15/20fiulijn(17710),"Draught at the breweryGolden color, clean, with creamy head. Slick and smooth IPA, delicate malt, the hop has some resins and a light musky character.I like some fruitiness in my IPA, but this too is very good. ",Main Street Naked Fox IPA (formerly Odds n Sods IPA),1786
3.7 AROMA 7/10 APPEARANCE 5/5 TASTE 7/10 PALATE 4/5 OVERALL 14/20fiulijn(17710),"Cask at the breweryGolden color, hazy, with creamy head. Nice hop aroma, piney and fruity. Smooth, with a good body strength, although I get a mouthfeel similar to nitro beers; the malt flavor is OK, some toffee; overall its quite dry; the bitterness is strong, the hop qualities are a bit muffled.Nice IPA. One would expect something fresher though. ",Main Street Un-session IPA,1786
3 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 12/20fiulijn(17710),"Draught at CallisterHazy blond color with small head. The aroma is lightly tart, but also with American/Belgian yeast, vegetables. Strange spicy profile, mingling with moderate sweetness and vegetables, tea; a bit yeasty in the final, and a sour hint; it has a decent level of bitterness.So and so. ",Machine Free Money,1786
3.4 AROMA 6/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Draught at CallisterGolden color, hazy, with compact head. Tropical IPA, the aroma is actually mild, the flavor is more evident; soft mouthfeel, with a delicate toffee malt flavor; the aroma has a tiny animal presence too, and the flavor has some chamomile. The final has some cardboard, less interesting than expected. Could benefit from some more carbonation and dryness. Fruity and tropical, nice. ",Machine Toucan Slam,1786
3.3 AROMA 7/10 APPEARANCE 4/5 TASTE 6/10 PALATE 3/5 OVERALL 13/20fiulijn(17710),"Bottle from The Beer Junction, SeattleAmber color, hazy. The aroma is nice, but its more malty than smoky. Robust caramel flavor, moderately sweet, a but nutty, with strong bitterness, quite orangey.Solid brew; as Double IPA it doesnt excite though. ",Ninkasi Velocihoptor Double IPA,1786
3.5 AROMA 7/10 APPEARANCE 3/5 TASTE 7/10 PALATE 4/5 OVERALL 14/20fiulijn(17710),"Tasting at MattsHazy blond color, compact head. More a Brett Pale Ale than an IPA, it has a spicy touch, and strong resiny hops.Very good. ",Tupiniquim / Evil Twin Brazil Lost in Translation IPA Brett,1786
3.1 AROMA 7/10 APPEARANCE 3/5 TASTE 6/10 PALATE 2/5 OVERALL 13/20fiulijn(17710),"Tasting at MattsCloudy pale blond color with generous head. The aroma is nice, spicy, fresh, flowery. Dry, highly carbonated, a bit spicy, but also some plastic; not as bad as sweet American Saisons, not as good as Belgian Saisons. ",Tupiniquim / Stillwater Saison De Caju,1786
2.9 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 2/5 OVERALL 12/20fiulijn(17710),"Draught at Rogue Kitchen & Wetbar (W. Broadway), VancouverCloudy blond color. Very mild aroma of citrus fruits. Dry mouthfeel, simple malt profile, strong bitterness, a bit resiny, maybe the juniper contribute s too, a bit woody/vegetable in the final.Uneventful. ",Howe Sound Log Driver Juniper Rye IPA,1786
3 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 12/20fiulijn(17710),"Draught at Rogue Kitchen & Wetbar (W. Broadway), VancouverCloudy golden color. Mild hoppy aroma, manure. Dry mouthfeel, the flavor is a bit too earthy, dry tired malts, then strong bitterness, a bit resiny. And some chicory in the final.Not too bad, but dry for me. ",Hearthstone Parley Session Ale,1786
2.5 AROMA 6/10 APPEARANCE 2/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20fiulijn(17710),"Tasting at MattsBlond color. The aroma is a bit spicy, with some mellow flowery aroma. Sweetish carbonated soda, with very little beer character, very low bitterness. Im put off by the usage of mollusks.Bland. ",Spinnakers Honey Mussel Saison,1786
2.5 AROMA 5/10 APPEARANCE 4/5 TASTE 5/10 PALATE 2/5 OVERALL 9/20fiulijn(17710),"Draught at St. Augustines, VancouverHazy amber color. Light aroma of rotten apples. Strong body, it has some residual sweetness, again that feeling of rotting apples, light fruity esters, and a woody, unpleasant bitterness in the final.Difficult to control high-gravity fermentationNot very good. ",Category 12 Transmutation Belgian Specialty Ale,1786
3.4 AROMA 7/10 APPEARANCE 3/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Courtesy of FerrisBlond color. Nice aroma, perfumy, almost vanilla and orange blossom, delicate. Moderately sweet, some vanilla ice cream with very light fruit.Very nice, balanced. ",Campbells Gold Melomel Gogi,1786
2.9 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 2/5 OVERALL 12/20fiulijn(17710),"Courtesy of Ferris; vintage 2013Blond color with a different hue. Mild fruity aroma, white wine. Its rather dry, the flavor is lightly vinous, a bit woody, astringent in the final, boozy.Nothing special. ",Campbells Gold Melomel Cheery Cherry,1786
3.2 AROMA 6/10 APPEARANCE 4/5 TASTE 6/10 PALATE 3/5 OVERALL 13/20fiulijn(17710),"Tasting at MattsDark amber color, small head. The barrel comes through with some vanilla and some petrol. Sweet, robust body, a bit oily too; it has some caramel flavor, but not much depth; the oak flavor is very strong, Bourbon; very low bitterness.I like sweet beers, I can drink it, but its very simplistic. ",Spinnakers Barrel Tosser Wee Heavy Scotch Ale ,1786
3.5 AROMA 7/10 APPEARANCE 4/5 TASTE 7/10 PALATE 3/5 OVERALL 14/20fiulijn(17710),"Draught at CallisterHazy golden color, small head. Nice Pale Ale, very nice malt bill, and zesty, lemony hops, lightly spicy (the rye) but also a suspicion of butter. Balanced, with character.Good one. ",Callister Axis and Allies Rye Pale Ale,1786
2.6 AROMA 6/10 APPEARANCE 3/5 TASTE 5/10 PALATE 2/5 OVERALL 10/20fiulijn(17710),"Tasting at MattsDark brown color; the bottle is slowly gushing. Very clumsy Porter, a bit chocolatey, too earthy, yeasty, with some sourness.Not very good. ",Blindman Robust Porter - Oaked,1786
3 AROMA 6/10 APPEARANCE 3/5 TASTE 6/10 PALATE 3/5 OVERALL 12/20fiulijn(17710),"Draught at CallisterDark brown color, cloudy. Im not a fan of root beers, but I find that this version has darker beer character that keeps the root beer character more at bay, hence slightly more drinkable. ",Callister Sassy Franny Hard Root Beer,1786
